date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season,heat_stress_index,drought_index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,temp_2m_scaled,precip_scaled,humidity_2m_scaled,windspeed_10m_scaled,windspeed_50m_scaled,earthskintemp_scaled,heat_stress_index_scaled,drought_index_scaled
2006-05-17,Mustang,28.9,83.8,0.78,63.59,6.85,65.8,7.82,0.98,15.03,1.84,13.2,10.13,2.55,5.48,0.7,4.78,2.14,4.0,0.96,3.04,2006,5,17,Spring,8.505,1.3039748607971773,0,0,6.28,0.01,6.84,2.3449999999999998,4.74,0.33926897844423615,0.03529411764705882,0.31159056698444554,0.30516431924882625,0.12715855572998433,0.40928093645484953,0.34769294529379263,0.45658295190495457
1995-09-14,Mustang,28.9,83.8,0.37,63.39,8.36,81.39,7.56,3.54,13.11,3.44,9.67,9.05,2.31,5.29,0.62,4.67,2.19,4.38,0.78,3.6,1995,9,14,Autumn,8.395999999999999,1.3164350506982405,1,0,7.82,0.78,4.02,2.25,4.835,0.33317713214620426,0.0167420814479638,0.38735574510787757,0.24882629107981225,0.13500784929356355,0.3867056856187291,0.3451832750046049,0.46641987861362344
1990-10-11,Mustang,28.9,83.8,0.0,63.53,5.57,71.75,3.57,-3.06,9.68,-0.52,10.2,4.14,2.08,5.34,0.34,5.0,1.89,4.42,0.45,3.98,1990,10,11,Autumn,4.127,1.2396907216494846,0,0,7.56,0.37,6.63,1.9849999999999999,4.88,0.23969072164948452,0.0,0.24736578023080785,0.1948356807511737,0.0879120879120879,0.28407190635451507,0.24689169276109782,0.4058326527243805
1993-06-23,Mustang,28.9,83.8,0.25,63.36,8.12,63.74,10.74,3.33,17.33,4.39,12.95,13.52,2.89,5.67,0.14,5.53,2.38,4.32,0.33,3.99,1993,6,23,Monsoon,11.552,1.3963728812121776,1,0,3.57,0.0,7.41,2.635,4.995,0.4076850984067479,0.011312217194570135,0.37531359759157046,0.38497652582159625,0.16483516483516483,0.4801421404682274,0.41784859090071835,0.5295282731292238
2000-05-02,Mustang,28.9,83.8,0.0,63.36,1.84,20.96,5.34,-14.26,12.92,-1.25,14.17,7.42,2.18,4.06,0.34,3.72,2.09,3.26,0.42,2.83,2000,5,2,Spring,5.524,1.28116213683224,0,0,10.74,0.25,19.6,2.135,3.6599999999999997,0.2811621368322399,0.0,0.060210737581535376,0.21830985915492962,0.119309262166405,0.352633779264214,0.27905691655921905,0.4385730262577511
2016-07-28,Mustang,28.9,83.8,8.09,63.35,10.35,96.97,8.1,7.02,11.35,5.84,5.51,8.79,2.23,4.66,0.36,4.3,2.15,4.0,0.53,3.47,2016,7,28,Monsoon,9.135,0.9797660798873654,1,0,5.34,0.0,1.08,2.19,4.33,0.34582942830365504,0.36606334841628957,0.48720521826392377,0.2300469483568075,0.12872841444270014,0.3812709030100334,0.36219837907533614,0.20063035074559532
2015-05-12,Mustang,28.9,83.8,2.25,63.42,6.42,75.2,4.89,0.31,10.6,-0.54,11.14,5.04,1.77,4.11,0.44,3.67,1.58,3.23,0.52,2.7,2015,5,12,Spring,5.532,1.1688086019498998,0,0,8.1,8.09,4.58,1.675,3.67,0.2706185567010309,0.10180995475113122,0.2900150526843954,0.1220657276995305,0.0392464678178964,0.30288461538461536,0.27924111254374656,0.34987345611691834
1993-12-04,Myagdi,28.4,83.6,0.0,79.56,2.08,21.55,10.03,-10.54,17.23,4.68,12.54,5.24,1.77,4.01,0.15,3.86,1.66,3.21,0.05,3.16,1993,12,4,Winter,10.238,1.391049671977507,0,1,4.89,2.25,20.57,1.7149999999999999,3.61,0.39104967197750695,0.0,0.07225288509784246,0.1220657276995305,0.05180533751962321,0.3070652173913043,0.3875944004420704,0.525325767428095
1995-05-02,Myagdi,28.4,83.6,0.0,79.23,3.54,18.74,20.4,-4.22,28.66,12.85,15.81,21.29,4.01,8.24,1.3,6.94,4.61,8.48,1.49,6.99,1995,5,2,Spring,20.753999999999998,1.634020618556701,0,0,10.03,0.0,24.619999999999997,4.3100000000000005,8.36,0.634020618556701,0.0,0.1455092824887105,0.6478873239436619,0.5149136577708007,0.6425585284280937,0.6297200221035182,0.7171436620840578
1986-09-17,Myagdi,28.4,83.6,0.02,79.39,10.02,65.06,17.12,9.64,22.89,12.94,9.95,16.93,2.15,5.05,0.17,4.88,1.98,4.06,0.25,3.81,1986,9,17,Autumn,18.122,1.5562646571136565,1,0,20.4,0.0,7.48,2.065,4.555,0.5571696344892221,0.0009049773755656109,0.47064726542900154,0.21126760563380276,0.10204081632653059,0.5514214046822743,0.5691195431939584,0.6557577843445824
