DNM,DCD,DISTRICT_CODE,DISTRICT_NAME,VG_P_200304,VG_P_200405,VG_P_200506,VG_P_200607,VG_P_200708,VG_P_200809,VG_P_200910,VG_P_201011,VG_P_201112,VG_P_201213,VG_P_201314,VG_A_200304,VG_A_200405,VG_A_200506,VG_A_200607,VG_A_200708,VG_A_200809,VG_A_200910,VG_A_201011,VG_A_201112,VG_A_201213,VG_A_201314,VG_Y_200304,VG_Y_200405,VG_Y_200506,VG_Y_200607,VG_Y_200708,VG_Y_200809,VG_Y_200910,VG_Y_201011,VG_Y_201112,VG_Y_201213,VG_Y_201314
Bhojpur,10,6,Bhojpur,12267,7615.0,8076,7997,8269,8087.0,10169.0,10501.0,10833.0,32804.0,20775.5,1305,1300,1365,699,885,1141.0,1481.0,9999.5,1557.0,1591.0,2109.5,9.4,5.857692307692307,5.916483516483517,11.44062947067239,9.343502824858756,7.087642418930763,6.8663065496286295,1.0501525076253813,6.957610789980732,20.61847894406034,9.848542308603935
Dadeldhura,73,74,Dadeldhura,6720,5131.0,5441,7839,7900,6664.0,7184.95,10466.975,13749.0,14100.0,14476.0,683,622,653,603,659,999.0,1082.5,4204.5,1127.5,1141.0,1178.0,9.838945827232797,8.2491961414791,8.332312404287903,13.0,11.987860394537178,6.67067067067067,6.637367205542725,2.4894696158877396,12.194235033259423,12.357581069237511,12.288624787775891
Dailekh,60,63,Dailekh,11590,11521.0,12218,23590,20500,28910.57,31317.5,32970.45,7070.0,28079.43,8749.07,1070,994,1043,2155,2250,3024.0,3164.0,2070.5,674.0,2523.5,1049.5,10.83177570093458,11.590543259557345,11.714285714285714,10.94663573085847,9.11111111111111,9.560373677248677,9.89807206068268,15.923907268775656,10.489614243323443,11.12717654051912,8.336417341591234
Dang,56,60,Dang,28236,31009.0,32886,34267,39751,41341.5,35606.2,73296.0,37039.35,37039.35,46784.0,2593,2600,2730,2853,3234,3336.0,2775.5,6736.0,3176.5,3176.5,3542.5,10.889317392981104,11.926538461538462,12.046153846153846,12.01086575534525,12.291589363017934,12.39253597122302,12.828751576292559,10.881235154394298,11.66042814418385,11.66042814418385,13.20649258997883
Darchula,75,72,Darchula,2590,2151.0,2281,2377,11319,10894.1,12587.5,22225.61,10982.5,11288.1,12213.25,304,310,325,340,897,886.8,997.3,2460.3,915.0,1022.5,1099.1,8.519736842105264,6.938709677419355,7.018461538461539,6.991176470588235,12.618729096989966,12.284731619305369,12.621578261305526,9.03369914238101,12.002732240437158,11.039706601466992,11.112046219634248
Dhading,30,30,Dhading,48231,49525.0,52522,54728,62676,59136.0,62674.0,44189.02,74796.8,75005.15,75457.6,4062,4275,4488,4690,6001,5157.0,5698.0,2459.5,6051.0,5872.0,5925.0,11.87370753323486,11.584795321637428,11.702762923351159,11.66908315565032,10.444259290118314,11.467132053519489,10.999297999298,17.96666802195568,12.36106428689473,12.773356607629427,12.735459915611814
Dhankuta,7,7,Dhankuta,32150,31710.0,33627,35039,36510,52393.0,52198.0,11001.0,53211.0,105028.0,107503.0,3071,3078,3231,3376,3528,3434.0,3427.0,1574.0,3103.0,5013.0,5364.5,10.468902637577337,10.30214424951267,10.407613741875581,10.378850710900474,10.348639455782314,15.25713453698311,15.231397723956814,6.989199491740788,17.14824363519175,20.95112706961899,20.03970547115295
Dolakha,22,17,Dolakha,13000,13610.0,14433,14208,13987,14051.0,14266.0,9606.0,4946.0,8790.0,9905.5,1350,1375,1443,1437,1431,1476.0,1499.0,3698.0,637.0,887.5,998.25,9.62962962962963,9.898181818181818,10.002079002079002,9.887265135699373,9.774283717679944,9.519647696476964,9.51701134089393,2.597620335316387,7.764521193092621,9.904225352112675,9.922865013774105
Dolpa,62,52,Dolpa,751,1079.0,1144,1089,1037,767.6,795.0,4520.0,2222.197,2223.0,2424.2,88,94,98,99,100,71.5,98.1,629.0,220.51,220.5,234.0,8.534090909090908,11.47872340425532,11.673469387755102,11.0,10.37,10.735664335664335,8.103975535168196,7.1860095389507155,10.077533898689403,10.081632653061224,10.359829059829059
Doti,70,70,Doti,4620,6252.0,6629,12843,11418,12577.0,13498.22,12803.0,26234.2,23841.0,24181.4,510,518,543,690,868,1094.0,1165.0,1293.0,1925.6,1911.1,1916.1,9.058823529411764,12.069498069498069,12.208103130755065,18.61304347826087,13.154377880184331,11.496343692870202,11.586454935622317,9.901778808971384,13.623909430826757,12.475014389618545,12.620113772767603
Gorkha,36,36,Gorkha,10500,10450.0,11081,11637,12220,16754.0,15399.4,31745.4,16981.0,19698.0,19553.0,1044,1050,1102,1146,1192,1431.5,1453.5,2967.0,1715.5,1728.2,1781.5,10.057471264367816,9.952380952380953,10.05535390199637,10.154450261780104,10.251677852348994,11.703807195249738,10.594702442380461,10.699494438827099,9.898571844943165,11.397986344173129,10.975582374403592
Gulmi,46,45,Gulmi,5990,3981.0,4221,4398,6082,8308.8,5919.5,20353.19,6119.75,6982.5,7569.0,629,569,597,624,652,1035.0,861.0,1539.0,712.25,780.0,819.0,9.523052464228934,6.996485061511423,7.0703517587939695,7.048076923076923,9.328220858895705,8.027826086956521,6.875145180023229,13.224944769330733,8.592137592137592,8.951923076923077,9.241758241758241
Humla,66,56,Humla,262,460.0,487,507,528,708.8,814.44,2228.0,1215.0,1494.0,1771.0,50,62,65,68,71,86.0,96.0,533.0,143.0,213.0,182.0,5.24,7.419354838709677,7.492307692307692,7.455882352941177,7.436619718309859,8.241860465116279,8.48375,4.1801125703564725,8.496503496503497,7.014084507042254,9.73076923076923
Ilam,3,3,Ilam,30000,24916.0,26424,27534,28691,43113.0,44820.0,23694.0,43608.0,44165.0,46588.73,2575,2541,2668,2788,2913,3237.0,3202.0,1540.0,3085.0,3140.0,3230.0,11.650485436893204,9.805588351042896,9.904047976011993,9.875896700143471,9.849296258153107,13.318813716404078,13.997501561524048,15.385714285714286,14.1354943273906,14.065286624203821,14.423755417956658
Jajarkot,61,62,Jajarkot,1640,2685.0,2847,5384,10180,5252.1,5589.44,5604.22,5619.0,10995.7,2540.0,241,249,261,543,1130,650.71,690.5,2423.5,598.0,926.0,687.0,6.804979253112033,10.783132530120483,10.908045977011493,9.915285451197054,9.008849557522124,8.071337462156722,8.094771904417088,2.3124489374871056,9.396321070234114,11.8744060475162,3.6972343522561864
Jhapa,4,4,Jhapa,50400,52399.0,55567,57901,60330,63312.0,64233.0,101897.0,123659.0,139928.0,144756.65,4290,4270,4483,4685,4896,5109.0,5200.0,8215.0,7445.0,8195.5,8331.5,11.748251748251748,12.271428571428572,12.395047958956056,12.35880469583778,12.322303921568627,12.392248972401644,12.3525,12.403773584905661,16.609670920080593,17.073759990238546,17.374620416491627
Jumla,63,54,Jumla,2701,4820.0,5111,5326,5550,2525.0,1350.5,2873.0,2794.5,2204.0,2613.0,311,590,619,647,676,505.0,341.9,324.0,2271.0,504.0,594.0,8.684887459807074,8.169491525423728,8.256865912762521,8.231839258114373,8.210059171597633,5.0,3.9499853758408894,8.867283950617283,1.2305151915455745,4.373015873015873,4.398989898989899
Kailali,71,71,Kailali,21900,28278.0,29989,34852,40500,123000.0,124620.0,45896.0,165221.738,116269.5,154074.0,1960,2120,2226,2570,2967,9000.0,9000.0,3776.0,10969.71,9599.0,10035.0,11.173469387755102,13.33867924528302,13.47214734950584,13.561089494163424,13.65015166835187,13.666666666666666,13.846666666666666,12.154661016949152,15.061632258282126,12.112667986248567,15.353662182361735
Kalikot,64,55,Kalikot,1850,1867.0,1980,2063,2149,1754.0,2574.2,13058.197,3372.7,3418.4,3664.05,212,172,180,188,196,200.0,275.5,1849.51,342.0,352.0,388.5,8.726415094339623,10.854651162790697,11.0,10.97340425531915,10.964285714285714,8.77,9.343738656987295,7.060354904812626,9.861695906432749,9.711363636363636,9.431274131274131
Kanchanpur,72,75,Kanchanpur,31984,41479.0,43989,45837,47763,31146.0,40100.0,44109.0,48118.0,55477.0,55843.7,2813,3221,3382,3534,3693,2685.0,3267.0,13134.0,4269.0,4415.0,4595.0,11.370067543547814,12.87767773983235,13.006800709639267,12.970288624787775,12.933387489845654,11.6,12.274257728803184,3.3583828232069437,11.271492152728976,12.565571913929785,12.153144722524482
Kapilbastu,50,47,Kapilbastu,23987,25059.0,26575,40500,39500,47198.0,49502.0,51329.5,53157.0,53197.0,55021.8,2150,2220,2331,2700,3127,3020.0,3126.0,11789.5,3360.0,3332.0,3540.0,11.156744186046511,11.287837837837838,11.4006864006864,15.0,12.63191557403262,15.628476821192052,15.835572616762636,4.353831799482591,15.820535714285715,15.96548619447779,15.542881355932204
Kaski,40,40,Kaski,19708,19900.0,21103,32810,35100,24201.9,35946.5,8487.27,39723.4,33833.5,35123.7,1947,2006,2106,3385,3441,2274.0,2775.0,683.88,2999.06,3031.6,3131.5,10.122239342578325,9.92023928215354,10.020417853751187,9.692762186115214,10.20052310374891,10.64287598944591,12.953693693693694,12.410466748552379,13.245283522170281,11.160278400844438,11.216254191282133
