date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season
1995-09-14,Morang,26.5,87.3,0.02,93.78,16.66,72.6,26.31,20.95,31.04,22.37,8.67,27.17,1.64,3.39,0.39,2.99,1.93,3.39,0.44,2.95,1995,9,14,Autumn
1990-10-11,Morang,26.5,87.3,0.13,94.37,14.37,78.33,22.69,18.62,27.54,18.91,8.64,22.96,1.58,3.6,0.14,3.46,1.96,3.66,0.32,3.34,1990,10,11,Autumn
1993-06-23,Morang,26.5,87.3,3.89,93.41,16.47,60.37,29.21,20.67,35.13,23.43,11.69,30.92,2.55,4.02,1.06,2.96,3.25,4.14,1.31,2.84,1993,6,23,Monsoon
2000-05-02,Morang,26.5,87.3,2.27,93.79,10.77,47.71,26.1,13.64,33.08,19.47,13.61,27.02,3.38,4.96,1.98,2.97,4.47,5.63,3.19,2.45,2000,5,2,Spring
2016-07-28,Morang,26.5,87.3,5.72,93.68,19.11,89.0,25.14,23.13,28.04,22.51,5.53,25.3,2.16,4.5,0.68,3.83,2.66,4.74,1.02,3.72,2016,7,28,Monsoon
2015-05-12,Morang,26.5,87.3,9.97,93.81,14.99,64.5,26.55,19.18,31.64,21.87,9.77,27.12,2.91,6.18,0.75,5.42,3.71,6.93,1.08,5.85,2015,5,12,Spring
1993-12-04,Mugu,29.5,82.1,0.0,61.74,0.81,16.26,-2.93,-21.03,5.75,-9.28,15.03,-6.11,2.2,6.21,0.34,5.87,2.34,6.25,0.47,5.79,1993,12,4,Winter
1995-05-02,Mugu,29.5,82.1,0.0,61.77,3.41,46.45,2.42,-7.62,9.07,-2.36,11.43,4.2,4.1,9.2,0.4,8.8,4.34,9.3,0.52,8.78,1995,5,2,Spring
1986-09-17,Mugu,29.5,82.1,0.0,61.84,5.09,60.64,4.3,-3.41,13.27,-3.65,16.92,5.38,2.62,5.27,0.36,4.91,2.6,4.49,0.46,4.03,1986,9,17,Autumn
2006-05-17,Mugu,29.5,82.1,2.74,62.0,6.34,65.18,6.45,-0.09,14.54,-0.14,14.68,8.21,2.78,6.57,0.26,6.31,2.73,5.72,0.42,5.3,2006,5,17,Spring
1995-09-14,Mugu,29.5,82.1,0.02,61.81,7.29,73.39,6.7,1.85,13.66,2.09,11.57,9.04,2.76,6.26,0.58,5.68,2.88,5.77,0.93,4.84,1995,9,14,Autumn
1990-10-11,Mugu,29.5,82.1,0.0,61.91,4.64,63.74,2.31,-4.66,9.4,-2.93,12.32,3.83,2.55,5.91,0.8,5.11,2.57,5.4,0.97,4.43,1990,10,11,Autumn
1993-06-23,Mugu,29.5,82.1,0.62,61.78,6.93,54.06,10.47,0.32,18.84,3.17,15.67,13.31,3.29,7.05,0.54,6.51,3.05,5.99,0.79,5.2,1993,6,23,Monsoon
